,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Mojito I,2 ounces light rum,1/2 lime,1 teaspoon superfine sugar,Crushed ice,Chilled club soda,Mint leaves,,,,,,,,
King's Peg (Napoleon),1 ice cube,2 ounces brandy,6 ounces chilled champagne,,,,,,,,,,,
Pineapple Cocktail,1 cup crushed pineapple,6 ounces dry white wine,3 ounces fresh pineapple juice,1 tablespoon lemon juice,9 ounces sherry,6 very small wedges pineapple,,,,,,,,
Port Sangaree II,1/2 teaspoon superfine sugar,2 ounces port,2 ice cubes,Club soda,1 tablespoon brandy,Nutmeg,,,,,,,,
Harlem,1 1/2 ounces gin,1 tablespoon pineapple juice,"1 slice pineapple, coarsely chopped",1/4 teaspoon maraschino,3 or 4 ice cubes,,,,,,,,,
Puerto Rico Rickey,1 ice cube,1/2 lime or 1/4 lemon,1 1/2 ounces gin,Chilled club soda,2 dashes raspberry syrup,,,,,,,,,
Brandy Fizz,3 ounces brandy,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,3 or 4 ice cubes,Club soda,,,,,,,,
Sling,2 ice cubes,2 tablespoons lemon juice,1 teaspoon superfine sugar,"2 to 3 ounces liquor (brandy, gin, vodka or whiskey)",Water,,,,,,,,,
Sangaree,1/2 teaspoon superfine sugar,"1 1/2 ounces liquor (brandy, gin, rum, sherry or whiskey) or wine",2 or 3 ice cubes,Nutmeg,,,,,,,,,,
Bronx Silver or Oriental,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,I egg white,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,
Whiskey Peppermint Flip,3 ounces whiskey,1/2 ounce white crème de menthe,1 whole egg,1 teaspoon superfine sugar,2 teaspoons heavy cream (optional),1/2 cup crushed ice,Nutmeg,,,,,,,
Beals,1 1/2 ounces Scotch whisky,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,3 or 4 ice cubes,,,,,,,,,,
Pink Rosé,1 ounce gin,1 teaspoon grenadine,1 teaspoon lemon juice,1 teaspoon cream,1 egg white,3 or 4 ice cubes,,,,,,,,
Angostura Highball,2 or 3 ice cubes,1 teaspoon Angostura bitters,Ginger ale,,,,,,,,,,,
Thunder and Lightning,2 to 3 ounces brandy,1 egg yolk,1 teaspoon sugar syrup,Pinch cayenne pepper,3 or 4 ice cubes,,,,,,,,,
Perfect Cocktail,1 1/2 ounces sweet vermouth,1 1/2 ounces dry vermouth,1 1/2 ounces gin,2 or 3 ice cubes,Twist lemon peel,,,,,,,,,
Horse's Neck I,1 lemon,2 to 3 ounces whiskey,3 or 4 ice cubes,Ginger ale,,,,,,,,,,
Orange Blossom Cocktail,"10 tablespoons fresh orange juice, chilled","10 tablespoons Grand Marnier or other orange liqueur, chilled","10 tablespoons mandarin-flavored vodka (such as Absolut Mandarin), chilled",2 1/2 teaspoons orange flower water*,"5 cups Champagne or sparkling wine (from two 750-ml bottles), chilled",10 orange peel strips (optional),,,,,,,,
Bishop,1/2 cup crushed ice,1 teaspoon superfine sugar,2 tablespoons lemon juice,1/4 cup orange juice,4 ounces Burgundy or Claret (approximately),1 slice orange,1 teaspoon rum,,,,,,,
Kentucky Colonel,1 1/2 ounces bourbon,1/2 ounce Benedictine,1/2 cup crushed ice,Twist lemon peel,,,,,,,,,,
Summer Punch,1 block ice,3 bottles dry white wine,1 1/2 cups crème de cassis,"12 orange slices, halved",1 pint strawberries,,,,,,,,,
Summer Delight,2 or 3 ice cubes,3 tablespoons lime juice,3/4 ounce raspberry syrup,Chilled club soda,Fruits for garnish (optional),,,,,,,,,
September Morn,3 ounces light rum,1 teaspoon grenadine,1 1/2 tablespoons lime juice,1 egg white,3 or 4 ice cubes,,,,,,,,,
Jersey Lightning,2 to 3 ounces applejack,Dash Angostura bitters,Sugar syrup to taste,3 or 4 ice cubes,,,,,,,,,,
Tequila Sour,2-3 ounces tequila,2 tablespoons lemon juice,1/2-1 teaspoon superfine sugar,3 or 4 ice cubes,1 orange or lemon slice or peel,Maraschino cherry,,,,,,,,
Remsen Cooler,1/2 teaspoon superfine sugar,2 ounces club soda,3 or 4 ice cubes,2 to 3 ounces Scotch whiskey or gin Club soda or ginger ale,Peel of 1 lemon,,,,,,,,,
Highland Fling,1 1/2 ounces Scotch whisky,3/4 ounce sweet vermouth,2 dashes orange bitters,1/2 cup crushed ice,Olive,,,,,,,,,
Champagne Cooler,Crushed ice,1 ounce brandy,1 ounce Cointreau,6 ounces chilled champagne,Mint sprigs,,,,,,,,,
Affinity,3/4 ounce Scotch whisky,3/4 ounce dry vermouth,3/4 ounce sweet vermouth,2 dashes Angostura bitters (or orange bitters),3 or 4 ice cubes,Twist lemon peel,Maraschino cherry,,,,,,,
Planter's Punch II,Crushed ice,1 tablespoon lime juice,2 tablespoons lemon juice,1/4 cup orange juice,1 teaspoon pineapple juice,1 1/2 or 2 ounces light rum,3/4 or 1 ounce dark rum,Slice orange,Slice lemon,Pineapple spear,Maraschino cherry,Mint sprig dipped in confectioners' sugar,,
Planter's Punch I,3 tablespoons lime juice,2 teaspoons superfine sugar,Finely crushed ice,2 to 3 ounces rum,2 dashes Angostura bitters,2 ounces club soda,Slice orange,Slice lemon,Pineapple spear,Maraschino cherry,,,,
Bellini,1 quart puree of fresh peaches,Sugar to taste,1 tablespoon lemon juice,3 quarts chilled champagne,,,,,,,,,,
Beachcomber,2 ounces light rum,3/4 ounces Cointreau,1 1/2 tablespoons lime juice,2 dashes maraschino liqueur,1/2 cup crushed ice,,,,,,,,,
Prince's Smile,2 ounces gin,1 ounce calvados or applejack,1 ounce apricot brandy,Dash lemon juice,3 or 4 ice cubes,,,,,,,,,
Golf,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes Angostura bitters,3 or 4 ice cubes,Olive,,,,,,,,,
Third Rail I,1 1/2 to 3 ounces dry vermouth,1 or 2 dashes curaçao,1 or 2 dashes crème de menthe,2 or 3 ice cubes,Twist lemon peel,,,,,,,,,
Singapore Sling,2 ice cubes,2 tablespoons lemon juice,1 teaspoon superfine sugar,2 or 3 ounces gin,1/2 ounce cherry brandy,Water,Slice of orange or sprig of mint (optional),,,,,,,
Claret Lemonade,4 tablespoons lemon juice,2 teaspoons superfine sugar,6 ounces crushed ice,8 ounces chilled claret or other dry red wine,Slice lemon,,,,,,,,,
Banana Daiquiri,2 ounces light rum,1/2 ounce banana liqueur,1/2 ounce lime juice,"1/2 small banana, peeled and coarsely chopped",1/2 cup crushed ice,,,,,,,,,
Cuban Special,1 ounce light rum,1/2 teaspoon curaçao,1 tablespoon pineapple juice,1 tablespoon lime juice,3 or 4 ice cubes,Stick pineapple,Maraschino cherry,,,,,,,
Man of the Moment,1 1/2 ounces Scotch,1 ounce Grand Marnier,1 ounce lemon juice,1 teaspoon grenadine,,,,,,,,,,
Love,2 ounces sloe gin,1/2 teaspoon lemon juice,1/2 teaspoon raspberry juice,1 egg white,3 or 4 ice cubes,,,,,,,,,
Port Sangaree I,3 ounces port,1 1/2 ounces water,1/2 teaspoon superfine sugar,3 to 4 ice cubes,Nutmeg,,,,,,,,,
Mint Julep I,Crushed ice,4 sprigs fresh mint,1 teaspoon superfine sugar,3 ounces bourbon,,,,,,,,,,
Mimosa,1 ice cube,1/4 cup orange juice,4 ounces champagne,,,,,,,,,,,
Manhattan I,2 1/2 ounces blended whiskey,3/4 ounces sweet vermouth,Dash Angostura bitters,3 or 4 ice cubes,Maraschino cherry,,,,,,,,,
Holland House,1 1/2 ounces gin,1/2 ounce dry vermouth,1 tablespoon lemon juice,"1 slice pineapple, coarsely chopped",1/4 teaspoon maraschino,3 or 4 ice cubes,,,,,,,,
Grasshopper I,1 ounce green crème de menthe,1 ounce white crème de cacao,1 ounce light cream,1/2 cup crushed ice,,,,,,,,,,
Coronation,3/4 ounces dry vermouth,3/4 ounces Dubonnet,3/4 ounces gin,1/2 cup crushed ice,,,,,,,,,,
Clover Club,1 1/2 ounces gin,1/2 ounce grenadine,2 tablespoons lime juice,1 egg white,3 or 4 ice cubes,,,,,,,,,
London Special,1 cube sugar,1 or 2 dashes Angostura bitters,4 ounces chilled champagne,Twist lemon or orange peel,,,,,,,,,,
Third Degree,1 to 1 1/2 ounces gin,1 to 1 1/2 ounces dry vermouth,2 dashes Pernod,3 or 4 ice cubes,Twist lemon peel,,,,,,,,,
Gin Fizz,3 ounces gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,3 or 4 ice cubes,Club soda,,,,,,,,
Bronx,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,,
Bloody Mary I,46 ounce can tomato juice,4 ounces lemon juice,2 tablespoons Worcestershire sauce,Salt,Freshly ground pepper,1 1/2 ounces vodka per serving,20 ice cubes,10 thin slices lemon,,,,,,
Boilermaker,2 ounces whiskey,8 ounces chilled beer,,,,,,,,,,,,
Between the Sheets,1 ounce brandy,1 ounce Cointreau,1 ounce light rum,1/2 ounce lemon juice (optional),3 or 4 ice cubes,,,,,,,,,
B & B,1 or 1 1/2 ounces Bénédictine,1 or 1 1/2 ounces brandy,,,,,,,,,,,,
Thistle,1 1/2 ounces Scotch whisky,1 1/2 ounces sweet vermouth,2 dashes Angostura bitters,3 or 4 ice cubes,,,,,,,,,,
White Russian,3/4 or 1 ounce crème de cacao,1 1/2 or 2 ounces vodka,1 tablespoon heavy cream,3 or 4 ice cubes,,,,,,,,,,
Spanish Manhattan,2 1/2 ounces blended whiskey,3/4 ounces dry sherry,Dash Angostura bitters,3 or 4 ice cubes,Maraschino cherry,,,,,,,,,
Planter's Punch III,1 ounce lime juice,2 tablespoons superfine sugar,3 ounces dark rum,4 ounces crushed ice,Dash Angostura bitters,,,,,,,,,
Pink Lady,1 or 1 1/2 ounces gin,1 or 1 1/2 ounces Calvados or applejack,1 tablespoon grenadine,3 tablespoons lemon juice,1 egg white,3 or 4 ice cubes,,,,,,,,
Old-Fashioned,1 lump sugar,Dash Angostura bitters,1 or 2 drops cold water,2 or 3 ounces bourbon (or any whiskey),Twist lemon peel,Slice orange (optional),Maraschino cherry (optional),,,,,,,
Alabama Fizz,3 ounces gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,3 or 4 ice cubes,Club soda,Sprig of mint,,,,,,,
Golden Fizz,3 ounces gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,1 egg yolk,3 or 4 ice cubes,Club soda,,,,,,,
Apricot Bellini,1 750-ml bottle of chilled brut Champagne,2 1/2 cups chilled apricot nectar,3 tablespoons Grand Marnier or other orange liqueur,,,,,,,,,,,
Cornell,1 1/2 ounces gin,1 teaspoon maraschino liqueur,1 egg white,3 or 4 ice cubes,,,,,,,,,,
Froth Blower,1 1/2 ounces gin,1 teaspoon grenadine,1 egg white,3 or 4 ice cubes,,,,,,,,,,
Clover Leaf,1 1/2 ounces gin,1/2 ounce grenadine,2 tablespoons lime juice,1 egg white,3 or 4 ice cubes,Mint leaf,,,,,,,,
Bronx Golden,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,2 tablespoons orange juice,1 egg yolk,3 or 4 ice cubes,,,,,,,,
Gin Rickey,1 ice cube,1/2 lime or 1/4 lemon,1 1/2 ounces gin,Chilled club soda,,,,,,,,,,
Cuba Libre,2 or 3 ice cubes,3 ounces rum,1 1/2 tablespoons lime juice,Chilled cola,Slice lime,,,,,,,,,
Gale at Sea,1 1/2 ounces vodka,1/2 ounce dry vermouth,1/2 ounce Galliano,1/2 ounce blue curaçao,3 to 4 ice cubes,,,,,,,,,
Flying Scotsman,1 1/2 ounces Scotch whisky,1 1/2 ounces sweet vermouth,2 dashes Angostura bitters,1/2 teaspoon superfine sugar,3 or 4 ice cubes,,,,,,,,,
Grand Passion,2 ounces gin,1 ounce passion fruit nectar,Dash Angostura bitters,3 or 4 ice cubes,,,,,,,,,,
Black Russian,3/4 ounces Kahlua,1 1/2 ounces vodka,3 or 4 ice cubes,,,,,,,,,,,
Watermelon Lemonade,7 cups 2-inch pieces peeled seeded watermelon (from about 4 pounds),1 cup simple syrup,1 cup fresh lemon juice,3 tablespoons grenadine,1 cup gin,3 cups ice cubes,Optional garnish: lemon twists,,,,,,,
Minted Mai Tai,1/2 cup fresh lime juice,1/2 cup almond syrup,1/2 cup chopped fresh mint leaves,2 cups pineapple juice,1 1/2 cups orange juice,1 1/2 cups dark rum,Ice cubes,6 fresh mint sprigs,,,,,,
Woo Woo,1/2 ounces vodka,1/2 ounce peach schnapps,4 ounces cranberry juice,,,,,,,,,,,
Hoptoad,3/4 ounce light rum,3/4 ounce apricot brandy,3/4 ounce lime juice,3 or 4 ice cubes,,,,,,,,,,
Tropical Cocktail,3 or 4 ice cubes,2-3 ounces gin,1 ounce guava nectar,1 ounce frozen pineapple juice,,,,,,,,,,
Merry Widow II,1 to 1 1/2 ounces gin,1 to 1 1/2 ounces dry vermouth,2 dashes Pernod,2 dashes Bénédictine,Dash Peychaud's or orange bitters,3 or 4 ice cubes,Twist lemon peel,,,,,,,
Dance with a Dream,2 ounces brandy,1/2 ounce Cointreau or Triple Sec,1 teaspoon anisette,,,,,,,,,,,
Mango Sour,1 cup mango nectar,3/4 cup vodka,1/2 cup fresh lemon juice,3 tablespoons superfine granulated sugar,Garnish: fresh mango spears,a cocktail shaker; 6 (12-oz) double Old Fashioned glasses,,,,,,,,
Mike's Milk Punch,1/2 cup half and half,1/4cup whole or reduced-fat (2%) milk,1/4 cup bourbon,1 1/2 teaspoons (or more) sugar,1/4 teaspoon vanilla extract,2 cups ice cubes,Freshly grated whole nutmeg or ground nutmeg,,,,,,,
Scotch Mist,1/2 cup crushed ice,2-3 ounces Scotch (or bourbon or brandy),Twist of lemon peel,,,,,,,,,,,
Sangria IV,1 750-ml bottle of dry red wine (3 cups),1 1/2 cups lemon-lime soda (such as 7UP),1 1/2 cups orange juice,16 lime slices,16 lemon slices,8 orange slices,1/2 cup brandy,1/4 cup sugar,2 tablespoons Cointreau or other orange liqueur,2 tablespoons grenadine,2 tablespoons fresh lemon juice,2 tablespoons fresh lime juice,Ice cubes,
Kir Royale,6 ounces champagne,1/2 ounce crème de cassis,Lemon twist,,,,,,,,,,,
Southern Comfort Champagne,1 ounce Southern Comfort,Dash Angostura bitters,4 ounces chilled champagne,Twist lemon peel,,,,,,,,,,
"Strawberry, Lime and Champagne Cocktail",1/3 cup sugar,"10-ounce package frozen strawberries in syrup, thawed",1/2 cup fresh lime juice,1/2 cup brandy,1/2 chilled club soda,2 bottles (25.4 ounces each) chilled champagne,"Strawberries, sliced thin, for garnish if desired","Thin lime slices, halved, for garnish if desired",,,,,,
Passion-Fruit Mimosa,1 cup chilled champagne,1/2 cup chilled passion-fruit nectar or juice,,,,,,,,,,,,
Crimson Royale,"12 tablespoons frozen cranberry juice cocktail concentrate, thawed",6 teaspoons cranberry liqueur,6 teaspoons orange liqueur,1 bottle champagne or other sparkling wine,12 whole fresh cranberries,"6 orange slices, folded in half",6 bamboo skewers,,,,,,,
Blackberry Kir Royale,"1 1/4 cups frozen unsweetened blackberries (about 5 ounces), thawed",4 tablespoons crème de cassis (preferably imported),1 750-ml bottle chilled champagne or other sparkling wine,,,,,,,,,,,
Strawberry Kir Royale,2 cups halved strawberries,1 tablespoon sugar,1/2 cup chilled champagne or sparkling wine,1 tablespoon crème de cassis,,,,,,,,,,
Champagne Framboise,Ice cubes,12 tablespoons framboise,8 teaspoons fresh lemon juice,1 1/2 750-ml bottles (about) chilled Brut champagne,Garnish: 3/4 cup fresh raspberries (about 24),,,,,,,,,
Poire William Champagne Cocktail,1/4 cup sugar,1/4 cup plus 4 teaspoons poire William (French pear brandy),2 2/3 cups chilled champagne,1 Seckel or small Bosc pear,,,,,,,,,,
Postmodern Pink Lady,2 teaspoons Chambord (black-raspberry-flavored liqueur),1/2 cup chilled cranberry juice,1 tablespoon lightly beaten egg white,,,,,,,,,,,
Buck's Fizz I,1 1/2 ounces gin,1/2 teaspoon sugar,1/4 cup orange juice,3 or 4 ice cubes,Chilled champagne,,,,,,,,,
Frozen Kir Royale,"1 half bottle (12.7 ounces) champagne, chilled","2 jiggers (3 ounces) 1 half botstle (12.7 ounces) champagne, chilled",,,,,,,,,,,,
Cranberry Champagne Cocktail,2 well-chilled 750-ml. bottles champagne or sparkling cider,"1 cup well-chilled cranberry juice cocktail, or to taste","3 tablespoons Grand Marnier or other orange-flavored liqueur, or to taste, if desired",,,,,,,,,,,
Champagne Fizz,1/2 cup orange juice,3 or 4 ice cubes,4 ounces chilled champagne,,,,,,,,,,,
Buck's Fizz II,3 ounces fresh orange juice,8 ounces chilled champagne,,,,,,,,,,,,
Sex on the Beach,1 ounce vodka,1 ounce peach schnapps,2 ounces orange juice,2 ounces cranberry juice,,,,,,,,,,
Cosmopolitan Champagne Cocktail,1 1/4 cups Cointreau or Grand Marnier,1 1/4 cups cranberry juice cocktail,1/2 cup plus 2 tablespoons fresh lime juice,3 tablespoons superfine granulated sugar,4 cups chilled Champagne or other sparkling wine,,,,,,,,,
Vodka and Watermelon Cooler,"3 pounds watermelon, rind and seedsdiscarded and the flesh cut into pieces,plus thin slices of watermelon for garnish",1/2 cup vodka,1/4 cup Triple Sec,3 tablespoons fresh lime juice,,,,,,,,,,
Pineapple-Orange Margarita,2 1/2 cups pineapple juice,1 1/4 cups white tequila,1 cup Cointreau or other orange liqueur,1 cup orange juice,3/4 cup fresh lime juice,1/2 cup simple syrup,3 cups ice cubes,"Optional garnishes: fresh pineapple spears, maraschino cherries",,,,,,
Sangrita Bloody Mary,"2 cans tomato juice, each 1 quart 14 ounces (about 12 cups total),chilled",2 2/3 cups fresh orange juice (from about 8 oranges),2/3 cup fresh lemon juice,2 1/2 teaspoons red or green Tabasco,2 teaspoons Worcestershire sauce,2 cups aquavit such as Aalborg or Linie if desired,Garnish: celery stalks,,,,,,,
Waikaloa Breeze,1 1/4 cups passion-orange-guava or other tropical fruit juice,1 cup thinly sliced hulled strawberries,1/2 cup gold rum,1/2 cup canned cream of coconut (such as Coco Lopez),1/4 cup half and half,8 ice cubes,Whole strawberries,,,,,,,
Yucatan Margarita with Tropical Fruit,Lime wedges,Sugar,3 cups Homemade Sweet-and-Sour Mix for Margaritas,1 cup gold tequila,12 tablespoons papaya nectar,12 tablespoons guava nectar,1/2 cup canned cream of coconut available in the liquor department of most supermarkets.,16 ice cubes,12 lime slices,,,,,
Minted Vodka Lemonade,"1 cup (packed) mint leaves, chopped",2/3 cup sugar,1 cup fresh lemon juice,1 1/2 cups vodka,Crushed ice,Fresh mint sprigs,,,,,,,,
"Iced Vodka with Cucumber, Lemon, and Mint",1/3 cups sugar,1 cup (packed) fresh mint leaves,"2 lemons, sliced into rounds","1/2 small cucumber, sliced",2 cups fresh lemon juice,2 cups vodka,1/2 cup water,3 cups ice cubes,,,,,,
Frozen Mango Martini,1/2 cup sugar,1/2 cup water,"1 1 1/4-inch-long piece fresh ginger (about 1 inch in diameter), sliced","2 medium mangoes, peeled, pitted",1/2 cup vodka,20 ice cubes,,,,,,,,
Cosmopolitan Cocktail,1 1/4 ounces Absolut Citron vodka (about 2 1/2 tablespoons),1/4 ounce Rose's lime juice (about 3/4 tablespoon),1/4 ounce triple sec or Cointreau (about 3/4 tablespoon),1/4 cup cranberry juice,1 cup ice cubes,Garnish: lime twist,,,,,,,,
Spiced Rum and Tea Punch,2 1/4 cups water,1/3 cup honey,1/4 cup (packed) golden brown sugar,2 tablespoons chopped peeled fresh ginger,16 whole cloves,16 whole allspice,"1 vanilla bean, chopped",1 tea bag (preferably Earl Grey),1 750-ml bottle dry red wine,1/4 cup dark rum,Crushed ice (if serving punch chilled),,,
Glögg,1 bottle tawny port,1 bottle Madeira,1 bottle medium dry sherry,1/2 bottle dry red wine,15 cloves,15 cardamom seeds,1 stick cinnamon,1/2 pound lump sugar,1/2 cup brandy,1 cup raisins,1 cup blanched almonds,,,
Mulled Madeira,4 cups Madeira,6 tablespoons honey,2 tablespoons fresh lemon juice,"8 3-inch-long, 1/2-inch-wide orange peel strips (orange part only)",6 whole cloves,"1 cinnamon stick, broken in half",1/2 cup Cointreau or other orange liqueur,,,,,,,
Cranberry Kir,1 1/2 cups chilled cranberry juice,3/4 cup crème de cassis (black currant-flavored liqueur),1 750-ml bottle chilled dry champagne or sparkling wine,,,,,,,,,,,
Cranberry-Vodka Punch,4 cups chilled cranberry juice cocktail,2 cups chilled orange juice,2 cups vodka,2 tablespoons sugar,2 tablespoons Grand Marnier or other orange liqueur,1/2 teaspoon ground cinnamon,1/4 teaspoon ground allspice,1/8 teaspoon ground nutmeg,Ice cubes,"2 oranges, thinly sliced",,,,
Champagne Americana,1/2 cup bourbon,3 1/2 tablespoons sugar,1 teaspoon Angostura bitters,Ice cubes,8 2-inch-long strips lemon peel (yellow part only),1 750-ml bottle chilled dry Champagne or sparkling wine,,,,,,,,
