,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Cranberry Daiquiri,1 1/2 cup sugar,1 1/2 cup water,2 cups cranberries,2 cups simple syrup,4 wide strips orange zest,2 cinnamon sticks,1/2 cup cranberries,1/2 cup simple syrup,2 wide strips orange zest,1 cinnamon stick,2 ounces Goslings rum,1 ounce freshly squeezed lime juice,1 ounce cranberry syrup,
Crush Royale Cocktail,1 ounce vodka,1 ounce applejack,1 ounce fresh lemon juice,1 tablespoon cranberry sauce,1/2 ounce simple syrup,"2 ounces sparkling white wine, chilled",,,,,,,,
Blue Smoke Bloody Mary,2 quarts low-sodium tomato juice,1/2 cup fresh lemon juice,1/2 cup pickled okra brine,1/2 cup Spanish olive brine,1/3 cup plus 1 tablespoon prepared horseradish,1/3 cup soy sauce,2 tablespoons celery seeds,2 tablespoons Worcestershire sauce,1 tablespoon plus 1 teaspoon Tabasco Chipotle sauce,2 teaspoons freshly ground black pepper,1/2 teaspoon Zatarain's powdered crab boil,4 cups vodka (preferably Tito's),"Pickled green beans, pickled okra, and celery stalks (for garnish)",
The Fall Spritz,"6 ounces chilled hard apple cider, preferably semi-dry",2 ounces cognac,1 (3 x 1/2-inch) strip orange zest,matches,,,,,,,,,,
Backwoods Bourbon Punch,6 ounces bourbon,3 ounces fresh grapefruit juice,2 ounces sweet vermouth,1 1/3 ounces grenadine,Lemon twists (for serving),Maraschino cherries (for serving),,,,,,,,
Tequila Highball,1 teaspoon elderflower cordial or syrup,1 1/2 ounces añejo tequila,1 lemon,Club soda (for serving),,,,,,,,,,
Negroni,1 1/2 ounces sweet vermouth,1 1/2 ounces Campari,1 1/2 ounces gin,2 or 3 ice cubes,Twist lemon peel,,,,,,,,,
Sazerac,1 cube sugar,1 teaspoon cold water,2 ounces rye whiskey,Dash Pernod,Dash Peychaud's bitters,3 or 4 ice cubes,Twist lemon peel,,,,,,,
Vesper,1 tablespoon (1/2 ounce) Lillet Blanc,2 tablespoons (1 ounce) vodka,6 tablespoons (3 ounces) gin,1 cup ice,1 (3/4-inch-thick) strip lemon peel,,,,,,,,,
Manhattan,2 ounces rye or bourbon whiskey,1 ounce sweet vermouth,2 dashes Angostura or orange bitters,Maraschino cherry for garnish,,,,,,,,,,
The Ruby Diamond,1 1/2 ounces gin,1 1/2 ounces mezcal,3/4 ounce Cappelletti,3/4 ounce fresh lemon juice,1/4 ounce fresh orange juice,,,,,,,,,
Golden Sunset,"4 pounds yellow or Sun Gold tomatoes, quartered, halved if small",1 tablespoon plus 1 teaspoon kosher salt,1 cup dill pickle juice,1/4 cup fresh lemon juice,1 tablespoon finely grated fresh horseradish or prepared horseradish,2 teaspoons Worcestershire sauce,1 teaspoon freshly ground black pepper,1/2 teaspoon Old Bay seasoning,3 dashes Tabasco sauce,8 ounces vodka,1 pint Sun Gold tomatoes,8 small celery stalks with leaves,Tabasco sauce (for serving),
Rosemary-Concord Shrub,1 cup Concord grapes,1/3 cup sugar,4 rosemary leaves,2 ounces vodka,1 ounce grape syrup,1/2 ounce apple cider vinegar,2–3 ounces club soda,,,,,,,
Life's A Peach Cocktail,3 cups frozen sliced peaches (about 14 ounces),2 cups ice,6 ounces whiskey,2 ounces honey,1 ounce fresh lemon juice,1 ounce fresh lime juice,1/8 teaspoon ground cardamom,,,,,,,
Cassis Spritz,4 ounces dry Prosecco or other sparkling white wine,1 ounce crème de cassis (blackcurrant liqueur),Club soda,Blackberries,,,,,,,,,,
Cointreau Spritz,4 ounces dry Prosecco or other sparkling white wine,2 ounces strained fresh orange juice,1/2 ounce Cointreau,Club soda,Orange wheel,,,,,,,,,
St-Germain Spritz,4 ounces dry Prosecco or other sparkling white wine,1 1/2 ounces St-Germain (elderflower liqueur),Club soda,Fresh lavender,,,,,,,,,,
