entry_id,drink_name,ingredient,measurement
322,Mint Julep Cocktail,"crushed ice, divided",N/A
323,Mint Julep Cocktail, sprig fresh mint for garnish,1
324,Bourbon Slush, frozen orange juice concentrate,1 (6 ounce) can
325,Bourbon Slush, frozen lemonade concentrate,1 (12 ounce) can
326,Bourbon Slush, pineapple juice,1 (46 fluid ounce) can
327,Bourbon Slush, white sugar,1 1/2 cups
328,Bourbon Slush, strong brewed black tea,2 cups
329,Bourbon Slush, bourbon whiskey,2 cups
330,Bourbon Slush, (2 liter) bottle lemon-lime flavored carbonated beverage,1
331,Mint Juleps, water,2 cups
332,Mint Juleps, white sugar,2 cups
333,Mint Juleps, roughly chopped fresh mint leaves,1/2 cup
334,Mint Juleps, Kentucky bourbon,32 fluid ounces
335,Mint Juleps, sprigs fresh mint leaves for garnish,8
336,OldFashioned Swedish Glogg, (70 milliliter) bottles port wine,5
337,OldFashioned Swedish Glogg, (750 milliliter) bottle 00 proof bourbon whiskey,1
338,OldFashioned Swedish Glogg, (750 milliliter) bottle white rum,1
339,OldFashioned Swedish Glogg," whole cardamom pods, cracked",3
340,OldFashioned Swedish Glogg, small cinnamon stick,1
341,OldFashioned Swedish Glogg, whole cloves,4
342,OldFashioned Swedish Glogg, (3 inch) strip of orange peel,1
343,OldFashioned Swedish Glogg, (8 inch) square of cheesecloth,1
344,OldFashioned Swedish Glogg, white sugar,3/4 cup
345,OldFashioned Swedish Glogg,) package dark raisins,1 (15 ounce
346,OldFashioned Swedish Glogg,) package blanched slivered almonds,1 (6 ounce
347,Chef Johns Homemade Eggnog,Custard Base:,N/A
348,Chef Johns Homemade Eggnog, egg yolks,4
349,Chef Johns Homemade Eggnog, white sugar,1/3 cup
350,Chef Johns Homemade Eggnog, whole milk,2 cups
351,Chef Johns Homemade Eggnog, heavy cream,1 cup
352,Chef Johns Homemade Eggnog, freshly grated nutmeg,3/4 teaspoon
353,Chef Johns Homemade Eggnog," bourbon whiskey, or more to taste",2 fluid ounces
354,Chef Johns Homemade Eggnog,Meringue:,N/A
355,Chef Johns Homemade Eggnog, egg whites,4
356,Chef Johns Homemade Eggnog, white sugar,1 tablespoon
357,Chef Johns Homemade Eggnog, pinch freshly grated nutmeg,1
358,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, eggs,6
359,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, white sugar,1 1/4 cups
360,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, quart bourbon,1
361,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, rum,1 cup
362,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, quarts half-and-half cream,2
363,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog," ground nutmeg, or amount to taste",2 teaspoons
364,Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog, heavy whipping cream,1 pint
365,Bettys Famous Eggnog," eggs, separated",12
366,Bettys Famous Eggnog, white sugar,4 1/2 cups
367,Bettys Famous Eggnog, (750 milliliter) bottle bourbon,1
368,Bettys Famous Eggnog, (750 milliliter) bottle dark rum,1/2
369,Bettys Famous Eggnog, /2 quarts whipping cream,1
370,Bettys Famous Eggnog, half-and-half (or whole milk),2 cups
371,Bettys Famous Eggnog, brandy,1 1/2 cups
372,Bettys Famous Eggnog," ground nutmeg, for garnish",1 tablespoon
373,Hot Toddy Cocktail, hot water,3/4 cup
374,Hot Toddy Cocktail, honey,1 tablespoon
375,Hot Toddy Cocktail, bourbon whiskey,2 fluid ounces
376,Hot Toddy Cocktail, hot water,3/4 cup
377,Hot Toddy Cocktail, twist lemon peel,1
378,Manhattan, bourbon,2 fluid ounces
379,Manhattan, sweet vermouth,1/2 fluid ounce
380,Manhattan, maraschino cherry (optional),1
381,Manhattan, ice,1/2 cup
382,Autumn Sunshine Cocktail, ice cubes,6
383,Autumn Sunshine Cocktail, bourbon,2 fluid ounces
384,Autumn Sunshine Cocktail, maple syrup,1 fluid ounce
385,Autumn Sunshine Cocktail, brandy-based orange liqueur (such as Grand Marnier®),1 fluid ounce
386,Autumn Sunshine Cocktail," clementine, juiced and peel cut into x/4-inch strips",1
387,Autumn Sunshine Cocktail," lemon, juiced",1/2
388,Cranberry Juice Surprise, cranberry juice,1/2 cup
389,Cranberry Juice Surprise, bourbon whiskey,1/2 cup
390,Cranberry Juice Surprise, or bottle lemon-lime flavored soda,1 (12 fluid ounce) can
391,Cranberry Juice Surprise,"ice cubes, as needed",N/A
392,Cranberry Slush, frozen cranberry juice concentrate,1 cup
393,Cranberry Slush, frozen lemonade concentrate,1 (6 ounce) can
394,Cranberry Slush, chilled lemon-lime soda,1 (12 ounce) can
395,Cranberry Slush, bourbon,6 fluid ounces
396,Eggnog Royale," quarts eggnog, chilled",2
397,Eggnog Royale, cold coffee,3 cups
398,Eggnog Royale, bourbon whiskey (optional),2 cups
399,Eggnog Royale, chilled heavy cream,2 cups
400,Eggnog Royale, coffee ice cream,2 pints
401,Eggnog Royale," ground nutmeg, for garnish",1/4 teaspoon
402,Thanksgiving Turkey, bourbon whiskey,1 (1.5 fluid ounce) jigger
403,Thanksgiving Turkey, orange juice,1/2 cup
404,Thanksgiving Turkey, frozen lemonade concentrate,1 teaspoon
405,Thanksgiving Turkey, frozen limeade concentrate,1 teaspoon
406,Thanksgiving Turkey, ginger ale,1/3 cup
407,Ha Ha Juice aka Party Punch, vodka,1 cup
408,Ha Ha Juice aka Party Punch, sloe gin,1 cup
409,Ha Ha Juice aka Party Punch, amaretto liqueur,1 cup
410,Ha Ha Juice aka Party Punch, peach-flavored bourbon liqueur (such as Southern Comfort ®),1 cup
411,Ha Ha Juice aka Party Punch, unsweetened pineapple juice,2 (46 fluid ounce) cans
412,Yankee Mint Julep," fresh mint leaves, or more to taste",6
413,Yankee Mint Julep, Kentucky bourbon,1 fluid ounce
414,Yankee Mint Julep, maple syrup,2 teaspoons
415,Yankee Mint Julep,"ice, or as needed",N/A
416,Yankee Mint Julep," lemonade, or to taste",4 fluid ounces
417,Yankee Mint Julep, sprig fresh mint,1
418,Yankee Mint Julep, lemon wedge,1
419,Texas Tea II, Kentucky bourbon,1 (1.5 fluid ounce) jigger
420,Texas Tea II, triple sec liqueur,1/2 fluid ounce
421,Texas Tea II, prepared lemonade,1/2 cup
422,Texas Tea II, chilled lemon-lime soda per serving,2 fluid ounces
423,Texas Tea II, wedge lemon,1
424,Lady Joy, lemon rum,2/3 fluid ounce
425,Lady Joy, Blue Curacao,2/3 fluid ounce
426,Lady Joy, champagne,6 fluid ounces
427,Lady Joy," twist lemon zest, garnish",1
428,Annex Theater Champagne Cocktail, sugar cube,1
429,Annex Theater Champagne Cocktail, bitters (such as Angostura®),1 dash
430,Annex Theater Champagne Cocktail, Champagne,5 fluid ounces
431,Sicilian Sunset, ice cubes,2 cups
432,Sicilian Sunset, Prosecco (Italian sparkling wine),1 cup
433,Sicilian Sunset, orange juice,1 cup
434,Sicilian Sunset, cranberry juice,1 cup
435,Sicilian Sunset," lemons, zested",2
436,The Champagne Cocktail, pear brandy,3/4 fluid ounce
437,The Champagne Cocktail, Champagne or other sparkling white wine,5 fluid ounces
438,The Champagne Cocktail, whole-berry blackberry preserves,1 tablespoon
439,WallabyDarned, vodka,1 (1.5 fluid ounce) jigger
440,WallabyDarned, peach schnapps,1 (1.5 fluid ounce) jigger
441,WallabyDarned, sugar,1 tablespoon
442,WallabyDarned, champagne,1/2 cup
443,WallabyDarned,) package frozen sliced peaches,1/2 (16 ounce
444,WallabyDarned, fuzzy navel mix,1/2 cup
445,WallabyDarned, ice,1 cup
446,Holiday Mimosa, orange liqueur (such as Grand Marnier®),1/4 cup
447,Holiday Mimosa, white sugar,2 tablespoons
448,Holiday Mimosa, orange juice,1 cup
449,Holiday Mimosa," (750 milliliter) bottle brut champagne, chilled",1
450,Bad Day, amaretto liqueur,1 (1.5 fluid ounce) jigger
451,Bad Day, champagne,4 fluid ounces
452,Poinsettias, brut Champagne,4 ounces
453,Poinsettias, cranberry juice,1 1/2 tablespoons
454,Rise n Shine Juice, quart orange juice,1
455,Rise n Shine Juice, (750 milliliter) bottle champagne,1
456,Champagne Punch III, frozen cranberry juice concentrate,1 (12 fluid ounce) can
457,Champagne Punch III, frozen pink lemonade concentrate,1 (12 fluid ounce) can
458,Champagne Punch III, frozen limeade concentrate,1 (6 ounce) can
459,Champagne Punch III," (750 milliliter) bottle white wine, chilled",1
460,Champagne Punch III," liter carbonated water, chilled",1
461,Champagne Punch III," (750 milliliter) bottles champagne, chilled",2
462,Champagne Punch III," lemon - sliced, for garnish",1
463,Champagne Punch III," fresh mint, garnish",1/2 cup
464,Party Mimosa, apricot-mango nectar,1 (12 ounce) can
465,Party Mimosa, pineapple juice,1 (12 ounce) can
466,Party Mimosa, cold water,3/4 cup
467,Party Mimosa," frozen orange juice concentrate, thawed and undiluted",1 (6 ounce) can
468,Party Mimosa, (750 milliliter) bottle cold champagne,1
469,Mimosa," champagne, chilled",3/4 cup
470,Mimosa, orange juice,1/4 cup
471,New Years Champagne Punch, quart orange sherbet,1
472,New Years Champagne Punch, quarts fresh orange juice,2
473,New Years Champagne Punch," (2 liter) bottle ginger ale, chilled",1
474,New Years Champagne Punch," (750 milliliter) bottles champagne, chilled",2
475,Champagne Peach Punch, peach nectar,3 (11.5 ounce) cans
476,Champagne Peach Punch, frozen orange juice concentrate,1 (6 ounce) can
477,Champagne Peach Punch, lemon juice,1/4 cup
478,Champagne Peach Punch, peach brandy,1/2 cup
479,Champagne Peach Punch, grenadine syrup,1/4 cup
480,Champagne Peach Punch,) bottle carbonated water,1 (32 fluid ounce
481,Champagne Peach Punch, (750 milliliter) bottles champagne,3
482,Lava Lamps,) package red or blue colored instant Jell-O® mix,1 (3 ounce
483,Lava Lamps, boiling water,1 cup
484,Lava Lamps, vodka,1 cup
485,Lava Lamps, (750 milliliter) bottle champagne,1
