,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
95,1/2 cup crushed ice,6 fluid ounces pineapple juice,,,,,,,,,,,2 fluid ounces rum,,,,,1 fluid ounce sweetened coconut cream,1 fluid ounce heavy cream,1 pineapple wedge,1 maraschino cherry,,,,['Pina Colada IV']
96,4 cups ice cubes,1 (12 ounce) can frozen limeade concentrate,,,,,,,,,,,2/3 cup tequila,,,,,1/2 cup melon-flavored schnapps,,,,,,,['Frozen Melon Margaritas']
97,1 tablespoon brandy,1 tablespoon creme de cacao,,,,,,,,,,,1 1/2 cups milk,,,,,1 pint French vanilla ice cream,1/4 cup sweetened whipped cream,1 pinch ground cinnamon,,,,,['Creamy Brandy Alexander']
98,4 cups crushed ice,2 (1.5 fluid ounce) jiggers vodka,,,,,,,,,,,2 (1.5 fluid ounce) jiggers coffee flavored liqueur,,,,,2 (1.5 fluid ounce) jiggers Irish cream liqueur,2 tablespoons chocolate syrup,1/2 cup whipped cream,,,,,['Frozen Mudslide']
99,1/2 cup white sugar,1/2 cup water,,,,,,,,,,,3 strips orange zest,,,,,2 cups cubed seeded watermelon,3/4 cup white tequila,1/4 cup lime juice,salt or sugar for rimming glasses (optional),"1 lime, cut into wedges","2 cups crushed ice, or as needed",,"[""Jewel's Watermelon Margaritas""]"
100,1 cup hulled strawberries,1/4 cup tequila,,,,,,,,,,,"1 tablespoon orange-flavored liqueur, such as Cointreau ®",,,,,1 tablespoon lemon juice,2 tablespoons white sugar,3 large basil leaves,8 ice cubes,,,,['Strawberry Basil Margarita']
101,"4 cups watermelon flesh, seeds removed",2 fluid ounces simple syrup,,,,,,,,,,,2 tablespoons lemon juice,,,,,1 cup vodka,2 fluid ounces melon liqueur,"4 twists lemon zest, garnish",,,,,['Watermelon Vodka Slush']
102,2 teaspoons white sugar,"1 lime, cut into 4 wedges",,,,,,,,,,,4 sprigs fresh mint,,,,,1/2 cup white rum,2 cups club soda,2 cups crushed ice,"2 wedges lime, as garnish",,,,['Cuban Mojito']
103,4 cups diced rhubarb,1/2 cup water,,,,,,,,,,,1/2 cup white sugar,,,,,4 cups ice,2/3 cup tequila,,,,,,['Rhubarb Margarita']
104,1/2 cup superfine sugar,1/3 cup gold tequila,,,,,,,,,,,1/3 cup triple sec,,,,,"2 large kiwis, peeled",1 cup fresh lime juice,2 cups small ice cubes,,,,,['Kiwi Margarita']
105,1 (12 fluid ounce) can frozen limeade,1 1/2 cups tequila,,,,,,,,,,,1 1/2 cups ruby red grapefruit juice,,,,,1 1/2 cups ice,"4 lime wedges, for garnish",,,,,,['Grapefruit Margaritas']
